date,segment_count,duration_seconds_sum,primary_title
2022-03-09,1,8452,Ranking the WORST Desserts in America w/ nmplol (Just Chatting) - [03/09/2022] | OTK Cyr VODs
2022-04-01,1,17311,"1st Day in Italy, Dinner, Drinks & New Friends - ITALY TRIP DAY 01 (FULL VOD 04/01/2022)"
2022-04-03,1,38386,"Best Beer in Italy, Visiting Vatican City & Chill Night - ITALY TRIP DAY 02 (FULL VOD 04/03/2022)"
2022-04-04,1,36307,Ancient Rome & Cuddeling on a Battlefield - ITALY TRIP DAY 03 (FULL VOD 04/04/2022)
2022-04-05,1,41942,"Colosseum, Lots of Drinks & McDonalds Incident - ITALY TRIP DAY 04 (FULL VOD 04/05/2022)"
2022-04-07,1,24029,"San Lorenzo Market, 1st Day of Florence  - ITALY TRIP DAY 05 (FULL VOD 04/07/2022)"
2022-04-08,1,36781,Partying on the Streets of Florence  - ITALY TRIP DAY 06 (FULL VOD 04/08/2022)
2022-04-09,1,42215,Last Day of Florence & Hotel Room Party  - ITALY TRIP DAY 07 (FULL VOD 04/09/2022)
2022-04-10,1,32479,"1st Day of Venice, Meeting Wonton Don & Prince  - ITALY TRIP DAY 08 (FULL VOD 04/10/2022)"
2022-04-11,1,32115,"Another Side of Venice, Barkeeper Rich & Lonely Cyr - ITALY TRIP DAY 09 (FULL VOD 04/11/2022)"
2022-04-12,1,36001,Gondola Tour & Jewish Ghetto (Ghetto Ebraico) - ITALY TRIP DAY 10 (FULL VOD 04/12/2022)
2022-04-14,1,30123,"1st Day of Sicily, Seafood Dinner - ITALY TRIP DAY 11 (FULL VOD 04/14/2022)"
2022-04-15,1,37568,Sicily Nightlife & Making new Friends - ITALY TRIP DAY 12 (FULL VOD 04/15/2022)
2022-04-18,1,20620,Last Day in Sicily & First Night in Milan - ITALY TRIP DAY 14 (FULL VOD 04/18/2022)
2022-04-19,1,18233,"Last Day of Italy, Oldest Shopping Gallery of Italy - ITALY TRIP DAY 15 (FULL VOD 04/19/2022)"
2022-07-09,1,9292,Shitcamp Zipline Stream (Just Chatting) - [07/09/2022] | OTK Cyr VODs
2022-07-15,1,15028,Cyr Plays Chimeraland (w/ Maya & RichWCampbell) - [7/15/2022] #ad | OTK Cyr VODs
2022-07-17,1,17308,Cyr Rebuilds His Desk Setup (Just Chatting) - [07/17/2022] | OTK Cyr VODs
2022-07-18,3,16297,Cyr plays MADiSON - FULL GAMEPLAY [07/18/2022] | OTK Cyr VODs
2022-07-20,3,31469,Sleepover Stream w/ Tectone & Rich (Just Chatting) - [7/20/2022] | OTK Cyr VODs
2022-07-21,1,18001,Preparing for Haunted Asylum (Just Chatting) - [07/21/2022] | OTK Cyr VODs
2022-07-24,2,22671,Late Night LEGO Building (Just Chatting) - [07/24/2022] | OTK Cyr VODs
2022-08-28,3,21033,Cyr Plays Arcade Paradise - FULL GAMEPLAY [08/28/2022] | OTK Cyr VODs
2022-08-29,1,15292,Cyr Plays Arcade Paradise - FULL GAMEPLAY [08/29/2022] | OTK Cyr VODs
2022-09-01,2,17833,Cyr Plays My Summer Car #1 - FULL GAMEPLAY [09/01/2022] | OTK Cyr VODs
2022-09-10,1,9734,Shitcamp Recap @ NAME YOUR PRICE Backstage (Just Chatting) - [09/10/2022] | OTK Cyr VODs
2022-09-12,2,13169,Covering Royal Ceremonies & Random Videos (Just Chatting) - [09/12/2022] | OTK Cyr VODs
2022-09-13,2,12937,Cyr Plays My Summer Car (#02) - FULL GAMEPLAY [09/13/2022] | OTK Cyr VODs
2022-09-15,3,25240,Cyr Plays Parkitect - FULL GAMEPLAY #001 [09/15/2022] | OTK Cyr VODs
