date,gap_days,features,sentiment,sentiment_score,intensity,intensity_score
2022-03-09,23,unclassified,negative,-1,low,0
2022-04-01,2,"collab, travel_irl",neutral,0,medium,1
2022-04-03,1,travel_irl,neutral,1,medium,1
2022-04-04,1,travel_irl,neutral,0,medium,1
2022-04-05,2,travel_irl,neutral,0,medium,1
2022-04-07,1,travel_irl,neutral,0,medium,1
2022-04-08,1,"gameplay_arc, collab, travel_irl",neutral,0,medium,1
2022-04-09,1,"gameplay_arc, collab, travel_irl",neutral,0,medium,1
2022-04-10,1,travel_irl,neutral,0,medium,1
2022-04-11,1,travel_irl,neutral,0,medium,1
2022-04-12,2,travel_irl,neutral,0,medium,1
2022-04-14,1,"travel_irl, food_cooking",neutral,0,medium,1
2022-04-15,3,"collab, travel_irl",neutral,0,medium,1
2022-04-18,1,travel_irl,neutral,0,medium,1
2022-04-19,81,travel_irl,neutral,0,medium,1
2022-07-09,6,unclassified,neutral,0,low,0
2022-07-15,2,unclassified,neutral,0,low,0
2022-07-17,1,unclassified,neutral,0,low,0
2022-07-18,2,gameplay_arc,neutral,0,medium,2
2022-07-20,1,"gameplay_arc, recovery_risk",neutral,0,low,0
2022-07-21,3,unclassified,neutral,0,low,0
2022-07-24,35,recovery_risk,neutral,0,low,0
2022-08-28,1,gameplay_arc,neutral,0,medium,1
2022-08-29,3,gameplay_arc,neutral,0,low,0
2022-09-01,9,"gameplay_arc, challenge",neutral,0,medium,1
2022-09-10,2,"collab, return_marker",neutral,0,medium,2
2022-09-12,1,"gameplay_arc, collab",neutral,0,low,0
2022-09-13,2,gameplay_arc,neutral,0,low,0
2022-09-15,1,gameplay_arc,neutral,0,medium,1
2022-09-16,1,gameplay_arc,neutral,0,medium,1
2022-09-17,1,"gameplay_arc, food_cooking",neutral,0,low,0
2022-09-18,21,gameplay_arc,neutral,0,medium,1
2022-10-09,4,collab,neutral,0,medium,1
2022-10-13,2,"gameplay_arc, collab",neutral,0,medium,1
2022-10-15,8,"gameplay_arc, collab",neutral,0,medium,1
2022-10-23,1,"gameplay_arc, travel_irl",neutral,0,high,3
2022-10-24,1,"gameplay_arc, collab",negative,-1,medium,2
2022-10-25,4,gameplay_arc,neutral,0,medium,1
2022-10-29,2,collab,neutral,0,medium,1
2022-10-31,2,unclassified,neutral,1,low,0
2022-11-02,1,gameplay_arc,neutral,0,medium,1
2022-11-03,3,collab,neutral,0,medium,1
2022-11-06,1,collab,neutral,0,medium,1
2022-11-07,7,"gameplay_arc, collab",neutral,0,medium,1
2022-11-14,1,gameplay_arc,neutral,0,medium,1
2022-11-15,1,gameplay_arc,neutral,0,low,0
2022-11-16,1,"gameplay_arc, collab",neutral,1,medium,2
2022-11-17,1,gameplay_arc,neutral,0,low,0
2022-11-18,4,gameplay_arc,neutral,0,low,0
2022-11-22,5,gameplay_arc,neutral,0,low,0
2022-11-27,5,"gameplay_arc, challenge",neutral,0,medium,1
2022-12-02,3,gameplay_arc,neutral,0,low,0
2022-12-05,1,"gameplay_arc, collab",neutral,0,medium,1
2022-12-06,9,gameplay_arc,neutral,0,medium,1
2022-12-15,1,gameplay_arc,neutral,0,low,0
2022-12-16,17,gameplay_arc,neutral,0,low,0
2023-01-02,1,gameplay_arc,neutral,0,medium,1
2023-01-03,1,"gameplay_arc, travel_irl",neutral,0,low,0
2023-01-04,1,"gameplay_arc, travel_irl",neutral,0,low,0
2023-01-05,1,"gameplay_arc, travel_irl",neutral,0,medium,1
2023-01-06,7,"gameplay_arc, travel_irl",neutral,0,low,0
2023-01-13,2,"gameplay_arc, travel_irl",neutral,0,low,0
2023-01-15,2,"gameplay_arc, travel_irl",neutral,0,medium,1
2023-01-17,2,"gameplay_arc, travel_irl",neutral,0,low,0
2023-01-19,1,"gameplay_arc, travel_irl",neutral,0,low,0
2023-01-20,2,"gameplay_arc, travel_irl",neutral,0,low,0
2023-01-22,1,"gameplay_arc, travel_irl",neutral,0,medium,1
2023-01-23,2,"gameplay_arc, travel_irl",neutral,0,low,0
2023-01-25,11,"gameplay_arc, travel_irl",neutral,0,low,0
2023-02-05,1,gameplay_arc,neutral,0,low,0
2023-02-06,1,gameplay_arc,neutral,0,low,0
2023-02-07,6,collab,neutral,0,medium,1
2023-02-13,1,"gameplay_arc, collab",neutral,0,low,0
2023-02-14,1,"gameplay_arc, collab",neutral,0,low,0
2023-02-15,3,"gameplay_arc, collab",neutral,0,low,0
2023-02-18,1,gameplay_arc,neutral,0,low,0
2023-02-19,2,"gameplay_arc, collab",neutral,0,medium,2
2023-02-21,1,gameplay_arc,neutral,0,low,0
2023-02-22,1,gameplay_arc,neutral,0,low,0
2023-02-23,2,gameplay_arc,neutral,0,low,0
2023-02-25,2,"collab, travel_irl",neutral,0,medium,1
